country, population
China, 1382050000
India, 1313210000
USA, 324666000
Indonesia, 260581000
Brazil, 207221000
Pakistan, 196626000
Nigeria, 186988000
Bangladesh, 162099000
Russia, 146838000
Japan, 126830000
Mexico, 122273000
Philippines, 103738000
Ethiopia, 101853000
Vietnam, 92700000
Egypt, 92641000
Germany, 82800000
the Congo, 82243000
Iran, 79978000
Turkey, 79814000
Thailand, 68147000
France, 66984000
United Kingdom, 65110000
Italy, 60589000
South Africa, 55908000
Tanzania, 55155000
Myanmar, 54363000
South Korea, 51446000
Colombia, 49129000
Kenya, 47251000
Spain, 46812000
Argentina, 43850000
Ukraine, 42603000
Sudan, 41176000
Algeria, 40400000
Poland, 38439000
